"year","doy","ndvi_mean","ndvi_std","ndvi_50","ndvi_75","ndvi_90","evi2_mean","evi2_std","evi2_50","evi2_75","evi2_90"
2015,77,-0.839296485003746,0.386275402102828,-1.03512234780256,-0.988676518987801,-0.313581764823482,-0.648271790761852,0.278912682822447,-0.780497953520216,-0.754664852380963,-0.346321951607482
2015,80,-0.845100550707088,0.366460251235113,-1.03519837380293,-0.959747661819525,-0.129790609829574,-0.648782490301628,0.279519567226257,-0.780361459420268,-0.758620605368256,-0.147405545430746
2015,83,-0.822036634544001,0.359459462284059,-1.00299032585929,-0.833860270917871,-0.262713708812593,-0.640437143741699,0.252304364301487,-0.761446984813711,-0.6767582712221,-0.290158536258548
2015,86,-0.874925333014789,0.315289513532564,-1.0349340997115,-0.927085351760213,-0.411474502674615,-0.682985359669824,0.230955708666417,-0.779537714347555,-0.743043633768814,-0.451418786402779
2015,89,-0.866329350649817,0.305872776820694,-1.03286612138587,-0.819517645171998,-0.457202724964558,-0.680054687679615,0.220061521381857,-0.778916858201677,-0.698860074528896,-0.462342854846309
2015,92,-0.8140766953948,0.392970816046393,-1.02957555943098,-0.845493204241546,-0.105000154383631,-0.624661585933576,0.291699308235002,-0.776302279849089,-0.692010339392555,-0.12799405819698
2015,95,-0.843623352316068,0.36512401368996,-1.00447721506753,-0.798799474893113,-0.31884689310683,-0.644023844189893,0.317805199497107,-0.762527993228781,-0.697317165536515,-0.311838707077019
2015,98,-0.839786504290276,0.319734765069261,-1.03507095919515,-0.635676914630013,-0.340750785554586,-0.65936577762819,0.209058559574608,-0.779646566593732,-0.605262081309987,-0.365182864276704
2015,101,-0.8586204874396,0.36288188032846,-1.03532936264244,-0.939192872000216,-0.332708143678592,-0.654166282185617,0.304393317814011,-0.779647581897462,-0.742035450037248,-0.35271315329985
2015,104,-0.856041517649318,0.3002650697105,-1.00455831728723,-0.719039948208661,-0.365366485115537,-0.674580011653184,0.199247379353491,-0.778620074024854,-0.680404996873972,-0.360855057959576
2015,107,-0.806197978657365,0.363213092475485,-1.00671299914832,-0.411209903233673,-0.264558942540927,-0.63728342126318,0.24319110496168,-0.765043713019204,-0.449421822636347,-0.308019402504826
2015,110,-0.824403686008121,0.355490838037272,-1.03611436973893,-0.739443960322027,-0.274302863427357,-0.645629904593228,0.243225852105447,-0.779144269700409,-0.696366045981791,-0.309436114384947
2015,113,-0.763143720327438,0.40407117801874,-1.02742941677798,-0.424620775976626,-0.071276974997022,-0.599193024932008,0.295016510155914,-0.778353687947094,-0.455745866854649,-0.0812246302892376
2015,116,-0.875416731591921,0.271382185759505,-1.00038596968415,-0.786086814397419,-0.599998528437462,-0.688930170691161,0.218121522845236,-0.759740023123199,-0.689893894625745,-0.570436327516699
2015,119,-0.860656160431616,0.344659792897287,-1.03005034043911,-0.702597798826963,-0.555406923830926,-0.673126994359813,0.300842440329199,-0.777399493341954,-0.697582392993936,-0.502254416631981
2015,122,-0.811689511959124,0.341837435411012,-1.02405090586707,-0.614121731083443,-0.286382403046157,-0.644872081327514,0.240669329548111,-0.775095053760127,-0.567439194818082,-0.291765883135408
2015,125,-0.870398441894844,0.309284764025334,-1.0308326089857,-0.872461553058372,-0.401707598204742,-0.686273828860028,0.22023133238515,-0.779635995310853,-0.755670608914128,-0.41552663301555
2015,128,-0.752745520638702,0.417994573415686,-1.03663180025238,-0.511472666826153,-0.00513792675359463,-0.590520587159828,0.307440067186454,-0.78032500320122,-0.525299966175395,-0.00599587895042234
2015,131,-0.740294087885852,0.394104982140608,-0.993883113106352,-0.390725019264376,-0.187586540389748,-0.588597395368264,0.285957673070897,-0.760429328693861,-0.37802150390995,-0.213874364380012
2015,134,-0.728215835050051,0.392679145974184,-0.963271865034132,-0.465593176396719,-0.00649516163902262,-0.587232259487792,0.289740207454336,-0.740492067834012,-0.481193243700692,-0.00756065532025833
2015,137,-0.801926796147791,0.339942729722495,-0.968317970060874,-0.53316067286057,-0.297360637737945,-0.636506986015653,0.221687363192374,-0.745948191628947,-0.490401450541893,-0.34549577582836
2015,143,-0.724383646945163,0.479696046720136,-1.00020588434788,-0.525974438401122,0.133606138268214,-0.547269817103275,0.438361341313053,-0.763441245863637,-0.5122825451447,0.234289114519057
2015,146,-0.745183743418139,0.42801426173693,-0.999033717150069,-0.59277775687402,-0.0641958199379222,-0.589256753231953,0.367408947629788,-0.762645320254388,-0.544962779534225,-0.0731230240081909
2015,149,-0.716822791719087,0.364200885714316,-0.88750230875251,-0.416480885706391,-0.241712189730786,-0.587227595827659,0.260514208586093,-0.703378927099677,-0.45545021812491,-0.251662321014505
2015,152,-0.802455547771369,0.311660063904563,-1.00764147668773,-0.522597075536176,-0.315604314007532,-0.647073211970231,0.197188978153397,-0.766594291638275,-0.53839313463257,-0.31798019615898
2015,155,-0.737694315713718,0.388199881285843,-0.965547272485851,-0.559612363032626,-0.0331060294173469,-0.597689102658699,0.283649474476815,-0.74282391370138,-0.584233808031098,-0.0397557378293492
2015,158,-0.788229346601205,0.339373609540435,-0.958746382467251,-0.568691169957328,-0.290371224294314,-0.644524445107545,0.241221383706806,-0.765402910162895,-0.592009162468724,-0.305222932851629
2015,161,-0.705554260599461,0.409708788931923,-0.918491110731807,-0.407113630944161,-0.0742815322726786,-0.570070615603131,0.298902446186761,-0.718406385051649,-0.426215490371838,-0.0886584156153368
2015,164,-0.657067781475517,0.425669128311602,-0.871291538618825,-0.311696325880229,-0.000988153603910384,-0.528926474618165,0.325073316186288,-0.722573657029183,-0.325433584439882,-0.00117991547803044
