"year","doy","ndvi_mean","ndvi_std","ndvi_50","ndvi_75","ndvi_90","evi2_mean","evi2_std","evi2_50","evi2_75","evi2_90","date"
2016,348,-0.426194724511226,0.0317946244333943,-0.412499096188747,-0.403611640193921,-0.39644124271542,-0.492711114487556,0.0406203191631073,-0.485947399843499,-0.463861771687063,-0.454234965410717,2016-12-13
2016,349,-0.469137913988301,0.157750182245785,-0.442613362620913,-0.380494281372521,-0.316096732554672,-0.536361588594638,0.156644084792876,-0.526412114143694,-0.435643242206154,-0.38497008591916,2016-12-14
2016,350,-0.402146977873483,0.16226495682141,-0.416576628169392,-0.339475643440004,-0.277928054885753,-0.463047369878742,0.178010518911693,-0.474135310408933,-0.409970908194513,-0.341515700483317,2016-12-15
2016,351,-0.376213544160326,0.140472512707693,-0.374474745729548,-0.29539468669472,-0.193972531320388,-0.438507797629851,0.138329172188591,-0.448946827936389,-0.363612155272675,-0.236691267658501,2016-12-16
2016,352,-0.34881364685094,0.0589608308874044,-0.354332307645042,-0.297256106596933,-0.279136680868972,-0.394330549379584,0.060294326263043,-0.397798058304203,-0.340054135082577,-0.319844387412916,2016-12-17
2016,353,-0.456501817365867,0.455162101840967,-0.321003616149119,-0.196126385672785,-0.138325697365039,-0.407786604827773,0.278012279549547,-0.340586187892951,-0.214160470184503,-0.173824313542491,2016-12-18
2016,354,-0.472161375951326,0.114598294675064,-0.458730040803105,-0.381833595521197,-0.346159711900015,-0.540360175352264,0.109650651394478,-0.528860676693681,-0.460460302219555,-0.399569522393065,2016-12-19
2016,355,-0.405227163867698,0.111853698482765,-0.412695706919083,-0.332381844318167,-0.261359365642458,-0.477173095479441,0.117454177126498,-0.499957948150701,-0.414674388993038,-0.333928564823456,2016-12-20
2016,356,-0.456631609799585,0.237331025386039,-0.405456272915839,-0.363603946089363,-0.298313438783749,-0.507018628037716,0.16482329234634,-0.492181915468319,-0.435766518854092,-0.371326747250746,2016-12-21
2016,357,-0.374804938396958,0.196343160407159,-0.295485832713717,-0.232115919750528,-0.203491795759496,-0.420957689714948,0.177555229355176,-0.32790766714371,-0.286218927428577,-0.25478888447777,2016-12-22
2016,358,-0.431575622145814,0.0979189935579719,-0.451777890443617,-0.39271805434504,-0.329449068585498,-0.505501670785172,0.101057652870861,-0.526517256577438,-0.471074621095077,-0.409211122636036,2016-12-23
2016,359,-0.340099810305367,0.171554458157649,-0.299760264929748,-0.271676639505979,-0.203088525767642,-0.365505837049411,0.134796452331206,-0.336245141352805,-0.300853756217733,-0.248547821089591,2016-12-24
2016,360,-0.366034208562802,0.180633898273827,-0.373503679052713,-0.314009758502051,-0.240010395258624,-0.431769377728657,0.205043241524693,-0.451006249973407,-0.390662190655664,-0.286097667004393,2016-12-25
2016,361,-0.418234562931571,0.0747811625292858,-0.4243752437706,-0.369100326044129,-0.341025220639443,-0.490321095689531,0.0825797748610276,-0.490202735175939,-0.437627930479552,-0.420310698036393,2016-12-26
2016,362,-0.336261673402289,0.228873798870017,-0.289335745820227,-0.246451552782676,-0.112322524302424,-0.376403666965737,0.241553091205482,-0.350654583269239,-0.279954714243563,-0.134961156058347,2016-12-27
2016,363,-0.419166640157381,0.0409155128897825,-0.411047628164909,-0.393827270549888,-0.381923548385817,-0.482476620852387,0.0500757967033067,-0.479224736390623,-0.457979729275952,-0.417740863717786,2016-12-28
2016,364,-0.457056838276212,0.168743338715363,-0.416716268583538,-0.386508877617637,-0.360859985585202,-0.4881321885081,0.123529278441292,-0.461581423222454,-0.433432908080782,-0.387706258513217,2016-12-29
2016,365,-0.332940564850775,0.254260060955604,-0.259630498970958,-0.151004270802969,-0.109862357566147,-0.378761863658419,0.247713281900468,-0.325200346961349,-0.197383738703433,-0.146626715567631,2016-12-30
2016,366,-0.4452747331987,0.0835645188108322,-0.419951406246347,-0.387438121465586,-0.369071752293868,-0.512714100583234,0.084140836219017,-0.495547968861224,-0.457170855394157,-0.434673444561746,2016-12-31
2017,1,-0.225823518170954,0.274384151929757,-0.211688504377691,-0.0980704231230465,0.0788761414233818,-0.264145761952295,0.303449341848094,-0.267335083121737,-0.128930715173368,0.111682941675437,2017-01-01
2017,2,-0.431239636538145,0.0500970235239279,-0.412847742177117,-0.401397328948733,-0.395287251937245,-0.502491544925783,0.0569179511767721,-0.486387124180509,-0.466866180156453,-0.441631892635496,2017-01-02
2017,3,-0.34364079127936,0.174250491708103,-0.309039126804927,-0.270700696666407,-0.249661923014739,-0.381947906406184,0.132986169505529,-0.360570339791202,-0.326168507339645,-0.303757659838111,2017-01-03
2017,4,-0.305988476224428,0.128410492549235,-0.302721386193829,-0.198788225618335,-0.158053075154199,-0.346650926620383,0.118817952515302,-0.34664261201552,-0.24683294175502,-0.191058609090251,2017-01-04
2017,5,-0.407732644551965,0.131728667382772,-0.408263434178933,-0.325212266822681,-0.245438247790496,-0.476588709691506,0.139599024701288,-0.489795237154277,-0.377638279442098,-0.300279445857542,2017-01-05
2017,6,-0.412652603193167,0.120852532452486,-0.406365694063875,-0.329169095969673,-0.283307739473954,-0.48156401604215,0.118709471802437,-0.484947269658416,-0.405383496380431,-0.351208618924529,2017-01-06
2017,7,-0.387557221667279,0.0543520168502153,-0.403400376169338,-0.368646936914295,-0.325445935778234,-0.441110098494666,0.0569846075348612,-0.461886977681308,-0.411757610508733,-0.382361359289948,2017-01-07
2017,8,-0.324958275440939,0.148139045168908,-0.351802435274959,-0.262009636796118,-0.127728127970924,-0.386778512737152,0.164438738689376,-0.430107759041926,-0.318510052441152,-0.164758437659678,2017-01-08
