"year","doy","ndvi_mean","ndvi_std","ndvi_50","ndvi_75","ndvi_90","evi2_mean","evi2_std","evi2_50","evi2_75","evi2_90","date"
2016,194,0.737538923620549,0.0688781742398217,0.727314445711308,0.794179349719254,0.819805202134887,1.48836473231897,0.219278456095725,1.42388658640437,1.66410935520896,1.75956201221813,2016-07-12
2016,197,0.715688788558617,0.0659400515414577,0.713325073261332,0.748759828285316,0.799269330715373,1.42566621612594,0.202063255507552,1.40387416566959,1.51795500786967,1.70892326422018,2016-07-15
2016,200,0.693400106183022,0.0557788137918019,0.690050567545768,0.714030458364006,0.761797043950392,1.36270337685625,0.171601782348563,1.34123391255283,1.43672060963075,1.58293929128012,2016-07-18
2016,203,0.71155263206497,0.0732908253285154,0.720035707363642,0.760838967085026,0.796496581671894,1.42218919933858,0.226747092417853,1.43818003458641,1.57220369508442,1.68541021933113,2016-07-21
2016,206,0.697062836212612,0.0723452314201833,0.700328767622819,0.747876317351603,0.779520599072619,1.38661542045855,0.213041867730868,1.38440817687742,1.53537510034833,1.63517469856386,2016-07-24
2016,209,0.706355690864064,0.0765033584569466,0.714880673662164,0.759598825888889,0.804696015848173,1.41303063387883,0.225665865479994,1.43196751682273,1.57216932233885,1.72342785470221,2016-07-27
2016,212,0.676507139316272,0.0814948146800705,0.67501240672071,0.718718240510006,0.76318490453591,1.32266339782549,0.222134360329267,1.3201399256755,1.45294115590052,1.58983205441176,2016-07-30
2016,215,0.697705311186971,0.0676939084161913,0.698743352809866,0.752457806334664,0.786973588857008,1.38291445116469,0.197819846668148,1.36975634363006,1.53341505728883,1.661733825649,2016-08-02
2016,218,0.690591900658747,0.0719013928694302,0.692596180698286,0.724574373387677,0.770897180612501,1.36145242754755,0.195151412877474,1.35323653284611,1.45928433345492,1.61456616870387,2016-08-05
2016,221,0.670466578414048,0.0613909330209377,0.667401356121284,0.703332146886805,0.752544515950283,1.30251706986777,0.171579825796494,1.29467266380245,1.38431125856149,1.52721741045928,2016-08-08
2016,224,0.65392154531294,0.0674116443923985,0.648107565094683,0.693766492230441,0.746161619689486,1.2627762551193,0.191696116584289,1.24751815774289,1.37312156995325,1.53163176110555,2016-08-11
2016,227,0.661548348280663,0.0708384968125473,0.660744416952471,0.723699109722028,0.760880668667072,1.28711175124094,0.208018294293593,1.2836855670586,1.47478635819702,1.57501360583397,2016-08-14
2016,230,0.621007344631621,0.0634536942948265,0.626581031354478,0.670773834153273,0.697111965583275,1.17538518206229,0.171400278287774,1.16842526043439,1.28372243148755,1.36918865585682,2016-08-17
2016,233,0.632471245185743,0.0911242816113045,0.646109210609395,0.685475770993789,0.724401940805767,1.2041367824916,0.239107315224508,1.2310645927244,1.36365992503509,1.46733230989252,2016-08-20
2016,236,0.596032065008281,0.0657434357440108,0.5967476377491,0.640025940376028,0.659141052913329,1.10871853086051,0.15451542533042,1.10798659854615,1.21673201718752,1.26727881460231,2016-08-23
2016,239,0.619465728104492,0.044458621830354,0.623019702935802,0.643405485190105,0.671721150652601,1.1613661888376,0.118746110483033,1.16920929001055,1.21738792460414,1.29064393256161,2016-08-26
2016,242,0.571777250011586,0.0605835355092993,0.579455213823,0.603636719064753,0.634943636774838,1.04905036015106,0.147020774324944,1.05692959856579,1.11017294247112,1.18870862504218,2016-08-29
2016,245,0.603508334455395,0.0573446146785316,0.611356984143823,0.644789126928728,0.66645704848595,1.13576715072367,0.14922858714352,1.15450305329753,1.24621599740979,1.2924100735076,2016-09-01
2016,248,0.527802190505426,0.0731054703993139,0.534835583630353,0.57624494564934,0.598032049820301,0.945746415392058,0.157563898600987,0.963144010468488,1.03242731183675,1.09649662225751,2016-09-04
2016,251,0.511610228649927,0.0657252977979224,0.519713003029031,0.566447516546834,0.580633848883102,0.910813603764983,0.14281553847862,0.926576173864151,1.00598261065132,1.06438214844821,2016-09-07
2016,254,0.480034275525272,0.139676911921377,0.504743526845268,0.551787286778003,0.584228240111806,0.85074571793888,0.247417019923101,0.885738956894378,1.01454579499583,1.08493773584594,2016-09-10
2016,257,0.400859428976751,0.0975835378455877,0.409815653252748,0.443251154167812,0.485600677126016,0.666075455372854,0.168316775025254,0.681945195842091,0.733523592456575,0.795769581432351,2016-09-13
2016,260,0.353785753243867,0.0753470220168956,0.362635500968821,0.409673883803627,0.454041028925881,0.587823442163659,0.142585699780398,0.596293498133791,0.694811084930046,0.780265413836882,2016-09-16
2016,263,0.215940328302538,0.108318155985301,0.225733806388165,0.285028925034108,0.348225143728488,0.34362923096051,0.182530486980308,0.354969913695792,0.458014855214875,0.57465201816389,2016-09-19
2016,266,-0.120808550570381,0.143296534667328,-0.157712565673336,-0.0238426007324056,0.112916045740839,-0.153459763800618,0.194728193925739,-0.213363401239707,-0.0293792005288636,0.168951684884463,2016-09-22
2016,269,-0.236700269089498,0.0969606018097935,-0.228339696461922,-0.186770622613552,-0.149609381477188,-0.301456873582709,0.113635000332759,-0.293187535634778,-0.237337685650871,-0.195821948145286,2016-09-25
2016,272,-0.249656064014609,0.143937127106271,-0.238541435943489,-0.192294582678462,-0.150453377581721,-0.316260543436057,0.161088679992383,-0.307365050623275,-0.250710878072528,-0.201920685475435,2016-09-28
2016,275,-0.266316257327843,0.0743460757765561,-0.265794173283908,-0.211784326959768,-0.187724272265614,-0.3407257907759,0.0877770015169325,-0.336592933308426,-0.275301869505029,-0.244728436122703,2016-10-01
