"year","doy","ndvi_mean","ndvi_std","ndvi_50","ndvi_75","ndvi_90","evi2_mean","evi2_std","evi2_50","evi2_75","evi2_90"
2014,308,-0.0485018350398176,0.0926064675669841,-0.0485018350398176,-0.0157605044406443,0.00388429391885961,-0.0653649857468138,0.127130972209923,-0.0653649857468138,-0.0204173994725762,0.00655115229196628
2014,311,0.00634028813133163,0.0147663349831599,0.00596913010962337,0.0136289166828751,0.0182247886268261,0.00920954107042805,0.0213204279907568,0.00857843669226388,0.0197084756569197,0.0263864990357132
2014,314,0.0148242992255264,0.00612307085978606,0.0117754611083524,0.0168243549059571,0.0198536911845199,0.0214029492284095,0.00890640260930098,0.0169629773470407,0.0243097645279644,0.0287178368365186
2014,317,0.0304834365565609,0.0310962729961096,0.0167635911935908,0.0414218656672635,0.0562168303514671,0.0429145641894344,0.0430535356593742,0.0241969665159138,0.058177867608008,0.0785664082632645
2014,320,0.0296993021326879,0.0362117096357987,0.0296993021326879,0.0425020748536037,0.0501837384861531,0.0434373661504391,0.0531361128208959,0.0434373661504391,0.0622238190012135,0.0734956907116782
2014,323,0.00155691995583126,0.0746099377419177,0.0263038789585328,0.0434764661487027,0.0537800184628046,0.00576685161464521,0.102963902637403,0.0375712032001062,0.063323704451932,0.0787752052030274
2014,326,0.0521976637744399,0.0671519752220972,0.0521976637744399,0.0759394722992479,0.0901845574141327,0.0692713897856526,0.0885819272886193,0.0692713897856526,0.100589830523831,0.119380894966738
2014,329,0.0654437036941533,0.0109046258523633,0.0625570286831326,0.0700291338550135,0.074512396958142,0.0962964479694979,0.0164605215329101,0.0919035930641178,0.103205666548059,0.109986910638423
2014,335,0.0308313552108222,0.0295165915901417,0.0308313552108222,0.0412670462462738,0.0475284608675447,0.043963162155054,0.0448173884094937,0.043963162155054,0.0598085017847662,0.0693157055625935
2014,338,-0.0168270215498014,NA,-0.0168270215498014,-0.0168270215498014,-0.0168270215498014,-0.0212392443853373,NA,-0.0212392443853373,-0.0212392443853373,-0.0212392443853373
2014,341,-0.0392968851469834,0.00455719096478246,-0.0392968851469834,-0.0376856748298036,-0.0367189486394957,-0.0515769201374243,0.00404648658550735,-0.0515769201374243,-0.050146271085128,-0.0492878816537502
2014,344,0.00429982105709807,0.0180564448576459,0.00962934121997491,0.0143604936287526,0.0171991850740191,0.00622578582534661,0.0257554373864656,0.0137989071112679,0.020572262829403,0.024636276260284
2014,347,-0.0679132724692635,0.0405256900505206,-0.0812782850042061,-0.0518356952827502,-0.0341701414498766,-0.0834497701151627,0.0449736949294223,-0.105822784922971,-0.0687500484813493,-0.0465064066163763
2014,350,-0.105573953327131,0.0454374035351108,-0.10269290383258,-0.0821692673032771,-0.0698550853856952,-0.135160288434813,0.0593019106915733,-0.135813247831262,-0.105673921015483,-0.0875903249260163
2014,353,-0.125279603600234,0.179789928136355,-0.0465089442755653,-0.0224142183593021,-0.00795738280954412,-0.149771211992182,0.207743831464027,-0.0652584489929531,-0.0314310181524387,-0.0111345596481301
2014,356,-0.0383569910141122,0.0471970807059999,-0.0651164838628954,-0.0244889485730517,-0.000112427399145465,-0.0532571137331368,0.0660725258911096,-0.0907708181612218,-0.0338687179671519,0.000272542149289973
2014,359,-0.0399765615198689,0.0147081672976143,-0.0424089983696665,-0.0333064047389065,-0.0278448485604505,-0.0559543617228075,0.0205276324273078,-0.0594450850372616,-0.0466751359432131,-0.039013166486784
2014,362,-0.0484201480780951,NA,-0.0484201480780951,-0.0484201480780951,-0.0484201480780951,-0.0679350441720213,NA,-0.0679350441720213,-0.0679350441720213,-0.0679350441720213
2014,365,-0.141093638719752,0.0787660607457807,-0.141093638719752,-0.113245630879406,-0.0965368261751978,-0.183963061683494,0.0929385245667958,-0.183963061683494,-0.151104331206167,-0.131389092919771
2015,2,-0.164736350485998,0.128484380811226,-0.125511581131447,-0.0929739251795308,-0.0734513316083809,-0.210088408062142,0.149211619327035,-0.171138448485442,-0.127676502399889,-0.101599334748557
2015,5,-0.119164563913998,0.0527227522293434,-0.0990850319293138,-0.089258450291767,-0.0833625013092389,-0.159881954005273,0.064378042476879,-0.136636974108939,-0.123495860154338,-0.115611191781577
2015,230,-0.834919273061138,0.319111152359349,-0.969344676287208,-0.956773456260443,-0.390622631049487,-0.656009782347839,0.239061561622052,-0.753148704025447,-0.746153323477184,-0.381645464833076
2015,233,-0.674065327120418,0.440473654134673,-0.96237073600848,-0.331715882114113,0.0708293113342877,-0.52545465531423,0.353736446000212,-0.746862446836304,-0.349014042941747,0.0972195863860041
2015,236,-0.713256698661156,0.446981970112829,-0.963879484615238,-0.371849610679607,0.0528870327193031,-0.548728429549477,0.35719465914537,-0.74873707425011,-0.360735967574096,0.0609997230897245
2015,239,-0.817902164293543,0.308274665961167,-0.963114551630223,-0.768901431645125,-0.381533059433547,-0.64579177866819,0.240678754714434,-0.747463807223223,-0.686372976446147,-0.355640456430364
2015,242,-0.707412980714927,0.413168996785406,-0.958043016362293,-0.336564213182615,0.034522707942973,-0.55104467099047,0.335368350773687,-0.742981336742812,-0.340722473085026,0.0448704557381915
2015,245,-0.805428131212876,0.328741795193372,-0.964661845094389,-0.910870271371231,-0.15649472181955,-0.632688545869527,0.244900292318406,-0.748893448723438,-0.717100636936227,-0.173858438435424
2015,248,-0.789773782247301,0.38495363931938,-0.967659428586846,-0.867612461070322,-0.229798267160687,-0.607905309285734,0.327581602580083,-0.751522240062964,-0.69361531324967,-0.248833487534126
