"year","doy","ndvi_mean","ndvi_std","ndvi_50","ndvi_75","ndvi_90","evi2_mean","evi2_std","evi2_50","evi2_75","evi2_90"
2012,32,-0.960628920718138,0.0805968336891613,-0.970704906989966,-0.956762895435613,-0.932311394051057,-0.748859929372679,0.0588241911239022,-0.744001697147659,-0.734986629250825,-0.722094554949429
2012,35,-0.859477058702558,0.369215812975431,-0.974445278656177,-0.930383881695528,-0.574076236894752,-0.65271724776918,0.323451111752909,-0.745321100336093,-0.721996645395735,-0.517784088302473
2012,38,-0.785403173165526,0.395916641340913,-0.980273409758998,-0.895118856826494,-0.200779711964507,-0.596568880433334,0.333405808820353,-0.747010389722548,-0.702848599174709,-0.221999242162474
2012,41,-0.859892369539958,0.350375089726097,-0.994392770755183,-0.959879538643553,-0.370677511638293,-0.655740239666999,0.297792176608966,-0.755113297115735,-0.738667540202496,-0.400344730811839
2012,44,-0.858950336388802,0.368307999618584,-0.995756041352741,-0.961006104252965,-0.416206390873489,-0.644616760966239,0.339449395088277,-0.75496829078537,-0.736975199112315,-0.405161901534866
2012,47,-0.861188412207545,0.369650405362634,-0.999153065223614,-0.963145956146482,-0.190590686111611,-0.654508393857501,0.311167438131647,-0.757526267547991,-0.741473236714872,-0.222723634392046
2012,50,-0.841781868934645,0.405362166429504,-0.99908505337568,-0.958471935217407,-0.0895476662770432,-0.628455151845767,0.373260462646848,-0.758781949960867,-0.73926220185475,-0.11113080189118
2012,53,-0.848038010926344,0.356428323740783,-0.995124792913513,-0.938083856414256,-0.519013194935035,-0.646362541915848,0.327281048434026,-0.754733437330468,-0.734654529401085,-0.501652182687502
2012,56,-0.814204705250585,0.412488722079758,-0.998570645497273,-0.963853919498041,-0.0125182581198415,-0.612185615858854,0.356311540752176,-0.757155142221892,-0.739152233700815,-0.0148106781718121
2012,59,-0.839300879908253,0.351839022535472,-0.996552478374489,-0.961273280836981,-0.251282510955564,-0.644973970933984,0.263499531233352,-0.756291458151439,-0.737154452045029,-0.256380108664969
2012,62,-0.944637440704187,0.175740646055945,-0.995152052003494,-0.964109188372136,-0.77570945563629,-0.731670450002869,0.108810890580116,-0.754700997555387,-0.739230648735282,-0.634401482968953
2012,65,-0.746889734926329,0.454643658245079,-0.97080096067629,-0.900852633481794,0.0913660522960606,-0.558164881299195,0.401130074020604,-0.743525543994983,-0.717934663008666,0.121076220236421
2012,68,-0.831167054228805,0.385318702459812,-0.987790088045853,-0.949229210293122,-0.275115398301078,-0.630249352810088,0.34097023716264,-0.753265471060834,-0.736565426439505,-0.27828292904284
2012,71,-0.812583006229227,0.407894239956107,-0.973622560736705,-0.876562447901471,-0.211443210332441,-0.611434700814014,0.391477246210817,-0.748681969397567,-0.703081940089355,-0.176946721691789
2012,74,-0.797665467386401,0.451602251594934,-0.997574535743337,-0.780427477991998,0.186868126249595,-0.589878015714948,0.403197816889157,-0.760815121751894,-0.642228877298197,0.279865360385838
2012,77,-0.810736592916428,0.363932221891306,-0.995744239623169,-0.719177529080897,-0.487932348345517,-0.62345794724185,0.305611962760264,-0.759310262815891,-0.617174826830613,-0.454492635287264
2012,80,-0.768708013780352,0.428938042491155,-0.997398089901305,-0.775554959466309,-0.0478584670169623,-0.584282510696673,0.349553395892064,-0.761518557737192,-0.633477457565106,-0.0567724965657046
2012,83,-0.812281227043702,0.388249965715,-0.997943960406619,-0.928987645964748,-0.313160444210385,-0.619577437758271,0.32933269140109,-0.759992744981399,-0.721838053609439,-0.315276918832449
2012,86,-0.758553728537544,0.476792567564574,-0.998351034338337,-0.928498280028158,0.288921506661228,-0.556903175253854,0.443749045168728,-0.758393404708095,-0.720624953216225,0.444471473843875
2012,89,-0.787909132802216,0.387217397079271,-0.995554966501079,-0.630678320994546,-0.129778918086742,-0.609186393699117,0.306703325458447,-0.756680268645217,-0.550324192483209,-0.15560936959941
2012,92,-0.762252335706386,0.429857809369693,-0.981179279756348,-0.822857870510221,-0.0373170126681908,-0.579602471662369,0.362104992789251,-0.753439412196449,-0.664511603401188,-0.0430918421030522
2012,95,-0.745964003593634,0.492263180294448,-0.985998225028266,-0.727056537388489,0.216133151648705,-0.545363770813838,0.442915399885626,-0.752401745584663,-0.619401223598895,0.330694412256697
2012,98,-0.737647090047806,0.446128581643214,-0.96706099273936,-0.706529670816803,-0.0410810262021425,-0.55203875127181,0.402323226513298,-0.742482454148491,-0.601512938146545,-0.0483356159580026
2012,101,-0.739106924697657,0.436543000674334,-0.972665690069916,-0.526277971414052,0.037902252821726,-0.563012843588037,0.36303192190948,-0.743107047183578,-0.526116585742522,0.0589455045781019
2012,104,-0.766164025002262,0.44761850581153,-0.98135432357188,-0.693414074083707,0.111091600291408,-0.578327797353965,0.40328213137344,-0.749752553118173,-0.601282977473186,0.177200506699353
2012,107,-0.765662955234253,0.4641052068943,-1.00060514300247,-0.395823959727617,-0.0709113834860746,-0.582964492733448,0.367216843638338,-0.764523220314452,-0.385561159396064,-0.0811882388683377
2012,110,-0.742435023252029,0.44164450188019,-0.995378455260958,-0.628407394505272,-0.0462481636886259,-0.562037726061089,0.393235502446536,-0.758105394072055,-0.549530668768421,-0.0130344903795823
2012,113,-0.853052309930771,0.308300741017444,-0.996642238588335,-0.819056654503076,-0.434488079561624,-0.664876859478572,0.249495312847175,-0.758846035401274,-0.696682300895924,-0.439629984443042
2012,116,-0.724364399666816,0.438059226842381,-0.979252104451379,-0.434508858426098,-0.0146207672888027,-0.560618090148552,0.358995869326655,-0.757018940669653,-0.438856596201902,-0.0163147470646584
