"datetime","solar_elev","exposure_rgb","r","g","b","ir","exposure_ir","Y","Z_prime","R_prime","Y_prime","X_prime","NDVI_c","EVI2_c","year","d1","d3"
2013-02-16 16:01:15,14.77599,300,114.05589,93.37154,49.82777,117.72327,51,94.7870303,16.4845550407652,6.58501987941623,5.47253174593902,11.0120232948262,0.251576550195089,0.39788180495967,2013,47,47
2013-02-16 16:31:06,10.228,400,106.76192,85.88332,48.21108,120.23364,73,88.0029536,14.0722831571666,5.338096,4.40014768,9.67213547716657,0.288739016700673,0.461390691243001,2013,47,47
2013-02-16 17:01:08,5.44056,1300,82.01397,96.43585,72.97307,100.90474,1200,89.5283802,2.91286894007546,2.2746582626105,2.48307050323335,0.429798436842114,-0.682155431122927,-0.669496895706947,2013,47,47
2013-02-17 09:01:06,18.08179,300,102.25576,84.06071,45.72071,110.08412,55,85.301825,14.8437397126774,5.90373905621898,4.92490316261163,9.91883655006577,0.253757516712513,0.400104418065615,2013,48,47
2013-02-17 09:31:07,22.10617,300,116.09198,95.80686,51.54634,110.86285,47,97.0237388,16.1710086726824,6.70257359037566,5.60166817139639,10.569340501286,0.22387599257323,0.349547514731458,2013,48,47
2013-02-17 10:01:06,25.68402,267,122.18191,99.44008,52.4064,113.50981,45,101.0889242,16.9210434182057,7.47741145982391,6.18654169241871,10.734501725787,0.178843937633992,0.274347921678998,2013,48,47
2013-02-17 10:31:05,28.73125,222,121.83929,99.1072,52.18751,115.63081,42,100.7656611,17.8422213418302,8.17731772464775,6.76294836049093,11.0792729813392,0.150699326843419,0.228825919536443,2013,48,47
2013-02-17 11:01:06,31.15934,193,116.13017,93.84158,47.91786,112.3055,40,95.4765478,17.757058688202,8.35923255031235,6.87255229335506,10.8845063948469,0.131225737978004,0.197616393043296,2013,48,47
2013-02-17 11:31:05,32.87765,177,115.94455,92.50947,45.20963,107.7061,36,94.3370116,17.9510166666667,8.71492604760754,7.09080400627968,10.860212660387,0.109592409268769,0.163632254583907,2013,48,47
2013-02-17 12:01:18,33.82461,166,112.98292,90.22205,44.18648,109.37179,36,91.9863983,18.2286316666667,8.76917527538365,7.13952913983771,11.089102526829,0.116824191631906,0.175035357368386,2013,48,47
2013-02-17 13:31:07,31.75665,166,111.35476,89.09353,44.63698,105.9249,34,90.8816785,18.1659704813617,8.64280555139025,7.05378625448489,11.1121842268768,0.125000250731752,0.187900233786354,2013,48,47
2013-02-17 14:01:07,29.53565,181,112.03412,89.51069,44.95591,106.15691,36,91.3666932,17.6928183333333,8.32743055759526,6.79123282175208,10.9015855115813,0.1338682616274,0.201815876514676,2013,48,47
2013-02-17 14:31:08,26.66425,209,120.69991,97.16342,49.68077,111.71001,38,99.0012755,18.1217565767317,8.34898735343335,6.848061420454,11.2736951562777,0.149047297758446,0.226291652504068,2013,48,47
2013-02-17 15:06:21,22.5896,254,124.307,100.31963,51.61672,113.68858,40,102.1585209,17.9757428375133,7.79971487693091,6.40999569830329,11.56574713921,0.194471593765237,0.300944917473621,2013,48,47
2013-02-17 15:31:07,19.34191,300,118.49099,95.2949,47.1867,112.07297,45,96.961825,16.706851957353,6.84108049730452,5.59809357648674,11.1087583808662,0.237755776668934,0.373998780821972,2013,48,47
2013-02-17 16:01:07,15.06256,400,98.85533,75.87381,34.01981,113.78014,85,78.164326,12.3411889304354,4.9427665,3.9082163,8.4329726304354,0.260935571215928,0.409733011273473,2013,48,47
2013-02-17 16:31:07,10.47955,1200,120.60851,96.68963,47.69221,112.09489,144,98.4755778,9.34124083333333,3.48166778575298,2.8427450675717,6.49849576576164,0.302282418964047,0.475705363563573,2013,48,47
2013-02-17 17:01:07,5.68414,1400,104.27985,86.24723,44.09838,86.99128,300,87.0206425,5.02244389251501,2.78699622174413,2.32572449865671,2.6967193938583,-0.016462711455892,-0.0217314376115541,2013,48,47
2013-02-18 12:02:39,34.20201,1100,107.28306,87.18805,44.52621,108.62122,208,88.5237506,7.53152650602797,3.23470596710169,2.66909150704726,4.86243499898071,0.201025156743265,0.298649891255154,2013,49,50
2013-02-18 12:31:07,34.29848,1100,103.27157,83.24766,40.67001,107.48915,213,84.5712915,7.3650352008958,3.11375499273566,2.5499203812843,4.8151148196115,0.214577848689912,0.320090230211585,2013,49,50
2013-02-18 13:01:06,33.59437,1100,102.54238,82.59501,39.38604,108.33086,219,83.8262343,7.32032113361617,3.0917690870004,2.52745606146836,4.79286507214781,0.215748245360719,0.321857585332181,2013,49,50
2013-02-18 13:31:09,32.09107,800,98.87485,78.13836,35.92278,108.12521,174,79.7155932,8.19695101625581,3.49575384619013,2.81837182590141,5.3785791903544,0.212165278946686,0.318725593217081,2013,49,50
2013-02-18 14:05:44,29.45579,800,100.50992,79.34533,35.48003,107.00905,159,80.869524,8.48636967886922,3.55356230042587,2.85916944058641,5.6272002382828,0.225867723853427,0.34205466090251,2013,49,50
2013-02-18 14:31:07,26.97561,900,106.11983,85.50866,38.54015,107.96846,174,86.5254749,8.18506782942271,3.53732766666667,2.88418249666667,5.30088533275604,0.199537809985408,0.298090165404203,2013,49,50
2013-02-18 15:31:06,19.6247,1400,107.37155,87.61618,42.73431,106.6604,253,88.6057853,6.7056818949695,2.8696253799062,2.36808922199036,4.33759267297914,0.203680155408265,0.300205334983551,2013,49,50
2013-02-18 16:31:06,10.73666,400,104.40521,76.79433,32.46874,116.37551,73,80.2017791,13.6207231959348,5.2202605,4.010088955,9.61063424093477,0.296028919200464,0.474342507821137,2013,49,50
2013-02-18 17:01:07,5.92552,2000,106.37333,85.96347,44.16466,107.67233,300,87.4885589,6.21646487097742,2.37857996873018,1.95630364953894,4.26016122143848,0.283424402128335,0.4288503049518,2013,49,50
2013-02-19 08:01:05,9.59592,2000,95.71883,88.36169,61.92315,97.20333,300,87.6605926,5.6120368741628,2.14033810606746,1.96015044001515,3.65188643414765,0.26096162494834,0.386044279143509,2013,50,50
2013-02-19 08:31:05,14.2789,900,94.24458,79.40613,41.95802,106.74578,167,79.7383729,8.26023645389778,3.141486,2.65794576333333,5.60229069056445,0.281434988295154,0.435021488833725,2013,50,50
2013-02-19 09:01:06,18.68643,400,93.82233,71.45873,30.44774,109.87974,83,73.6566011,12.0608683489596,4.6911165,3.682830055,8.37803829395958,0.28210866365005,0.446645853873734,2013,50,50
2013-02-19 09:31:06,22.73249,300,114.23855,90.41099,42.84071,110.94012,49,92.3265272,15.8485885714286,6.59556575943325,5.33047453322633,10.5181140382022,0.229205426603281,0.358584177243963,2013,50,50
2013-02-19 10:01:06,26.33631,300,113.01161,90.17978,43.76592,113.63388,55,91.9238044,15.3223892534329,6.5247283455053,5.30722332152745,10.0151659319055,0.211031432720051,0.327132257356963,2013,50,50
2013-02-19 10:31:05,29.40587,246,122.19007,97.34677,47.73753,113.75451,42,99.3427436,17.5527019662963,7.79055431995792,6.3338619931182,11.2188399731781,0.180346916916656,0.277224314606096,2013,50,50
2013-02-19 11:31:07,33.58557,172,115.71246,91.55704,44.21748,111.99175,36,93.5963144,18.6652916666667,8.82299235983435,7.13665206720049,11.5286395994662,0.132944976847194,0.20069291390681,2013,50,50
2013-02-19 12:01:17,34.53597,163,113.709,89.54999,42.951,109.75364,34,91.6718041,18.8225939742403,8.90637625076806,7.18028985305739,11.6423041211829,0.133143726063761,0.201067043055101,2013,50,50
2013-02-19 12:31:07,34.65385,300,93.79371,74.51554,31.52442,99.98427,64,75.5699678,12.49803375,5.41518237167937,4.36303412519813,8.13499962480186,0.200721824535552,0.307234592831201,2013,50,50
2013-02-19 13:01:07,33.94259,154,116.90992,91.40982,42.13381,110.89338,30,93.6394889,20.2462685679974,9.42086982583701,7.54568504952197,12.7005835184754,0.148259413230716,0.225809217596277,2013,50,50
2013-02-19 13:31:07,32.43164,800,97.20365,85.68193,54.11723,109.22398,191,85.666329,7.90316982169673,3.43666800355419,3.02876210776289,4.87440771393385,0.172990808801608,0.254513857136941,2013,50,50
2013-02-19 14:01:06,30.18631,171,115.46808,87.64219,36.91443,107.68888,32,90.4099034,19.0368843265961,8.83006477060825,6.9138181125592,12.1230662140369,0.157160352113573,0.239908215931155,2013,50,50
2013-02-19 14:31:07,27.28635,800,107.79257,90.90074,50.21087,109.53655,156,91.4924033,8.76994276283931,3.81104286042628,3.23474494002422,5.53519782281509,0.18447577168437,0.27486734326685,2013,50,50
2013-02-19 15:01:07,23.82859,1000,93.9286,82.71382,50.9023,107.05378,231,82.5789868,7.04362160028502,2.97028313430892,2.61137685156979,4.43224474871523,0.197494914913993,0.290974131930526,2013,50,50
2013-02-19 15:38:16,18.90863,1400,105.99815,92.56789,57.75143,107.47901,144,92.7671574,8.95658416666667,2.83291972094194,2.47930656954094,6.47727759712573,0.391437232926463,0.638183864836006,2013,50,50
2013-02-19 16:31:07,10.98877,1500,111.0857,94.23362,51.68847,114.22714,234,94.6092775,7.46726174156276,2.86822044067862,2.44280104102811,5.02446070053465,0.273194903135865,0.41761089282337,2013,50,50
2013-02-19 17:01:07,6.16729,1400,78.28331,93.31494,84.30046,103.43257,1300,87.8138582,2.86870334375399,2.09220946516153,2.34692407996535,0.521779263788634,-0.600779255082563,-0.600034588490125,2013,50,50
2013-02-20 07:31:05,5.00482,1900,117.56714,96.77658,59.85888,118.60004,159,98.952801,9.40559497882353,2.69717517021631,2.27013294599627,7.13546203282727,0.451383161095087,0.759528944590075,2013,51,50
2013-02-20 08:01:06,9.88447,500,89.75954,74.56976,42.97367,111.84725,93,75.6511241,11.5980195438438,4.01416866138223,3.38322112123745,8.2147984226063,0.343498329202635,0.557148073864512,2013,51,50
2013-02-20 08:31:07,14.58084,400,97.17511,77.4348,41.17058,109.40547,85,79.3678288,11.8666893474826,4.8587555,3.96839144,7.89829790748263,0.238263673467087,0.369606548535614,2013,51,50
2013-02-20 09:01:06,18.99446,300,104.9246,80.97088,36.309,105.9694,53,83.2441892,14.5560165453042,6.05782460546138,4.80610550430921,9.74991104099499,0.233562005217444,0.364993839320553,2013,51,50
2013-02-20 09:31:05,23.0502,600,102.84254,81.40563,37.25212,111.21737,126,82.9798169,9.90803080947787,4.19852911419614,3.38763683924294,6.52039397023493,0.216613631588721,0.329869128468329,2013,51,50
2013-02-20 10:01:05,26.66613,300,86.94671,65.03732,24.82537,112.42025,81,67.1868225,12.4911388888889,5.01987064236523,3.87903300563706,8.61210588325183,0.263515362877577,0.414620171891406,2013,51,50
2013-02-20 11:01:06,32.20473,300,90.20093,67.4625,24.11577,111.44841,79,69.5158887,12.5389257668443,5.20775312166546,4.01350170539011,8.52542406145418,0.241580727864394,0.376596688455619,2013,51,50
2013-02-20 11:31:05,33.94227,300,119.80135,94.53345,41.86889,110.00604,57,96.3207184,14.5706559452591,6.91673416717806,5.56107926967781,9.00957667558134,0.131407865202804,0.196623737442719,2013,51,50
