#
# ROI IR statistics timeseries for blackrockforest
#
# Site: blackrockforest
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 41.3974
# Lon: -74.0239
# Elev: 427
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2020-07-24
# Creation Time: 11:53:06
# Update Date: 2020-07-27
# Update Time: 08:27:46
#
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,ir_mean,ir_std,ir_5_qtl,ir_10_qtl,ir_25_qtl,ir_50_qtl,ir_75_qtl,ir_90_qtl,ir_95_qtl
2020-05-28,13:18:05,149,blackrockforest_IR_2020_05_28_131805.jpg,63.39193,16,0,1,74.03743,32.13498,19,32,52,74,96,115,127
2020-05-28,13:48:05,149,blackrockforest_IR_2020_05_28_134805.jpg,58.84071,20,0,1,58.22378,25.05325,15,25,41,59,75,90,99
2020-05-28,14:18:05,149,blackrockforest_IR_2020_05_28_141805.jpg,53.79547,16,0,1,63.78129,21.53860,25,35,51,65,78,90,97
2020-05-28,14:48:05,149,blackrockforest_IR_2020_05_28_144805.jpg,48.45835,50,0,1,70.81451,31.26477,17,29,50,71,92,110,122
2020-05-28,15:18:05,149,blackrockforest_IR_2020_05_28_151805.jpg,42.95444,74,0,1,63.40296,26.98704,17,27,45,64,82,98,107
2020-05-28,15:48:05,149,blackrockforest_IR_2020_05_28_154805.jpg,37.36528,99,0,1,67.26808,21.98112,28,38,54,69,82,94,102
2020-05-28,16:18:06,149,blackrockforest_IR_2020_05_28_161806.jpg,31.74531,46,0,1,67.86894,20.63253,35,42,54,67,82,95,102
2020-05-28,16:48:05,149,blackrockforest_IR_2020_05_28_164805.jpg,26.14856,17,0,1,66.71206,19.25054,36,42,54,66,81,92,99
2020-05-28,17:18:05,149,blackrockforest_IR_2020_05_28_171805.jpg,20.60432,39,0,1,70.24379,19.83627,39,45,56,69,85,97,103
2020-05-28,17:48:05,149,blackrockforest_IR_2020_05_28_174805.jpg,15.15324,148,0,1,69.92738,21.13305,37,43,55,69,86,98,104
2020-05-28,18:18:05,149,blackrockforest_IR_2020_05_28_181805.jpg,9.83725,230,0,1,70.31650,21.33873,37,43,55,69,87,100,105
2020-05-28,18:48:05,149,blackrockforest_IR_2020_05_28_184805.jpg,4.72989,260,0,1,72.94891,20.69445,40,46,58,72,89,101,106
2020-05-28,19:18:05,149,blackrockforest_IR_2020_05_28_191805.jpg,0.10986,1516,0,1,72.43870,19.43363,42,48,59,72,87,99,104
2020-05-29,04:48:05,150,blackrockforest_IR_2020_05_29_044805.jpg,2.99685,653,0,1,66.75356,20.38615,33,40,53,66,81,93,100
2020-05-29,05:18:05,150,blackrockforest_IR_2020_05_29_051805.jpg,7.99171,207,0,1,68.47527,21.37428,33,41,54,68,84,96,103
2020-05-29,05:48:05,150,blackrockforest_IR_2020_05_29_054805.jpg,13.24548,45,0,1,66.23503,19.76074,33,41,54,66,80,92,99
2020-05-29,06:18:05,150,blackrockforest_IR_2020_05_29_061805.jpg,18.65588,36,0,1,73.22458,20.64181,40,47,60,73,88,101,107
