"datetime","solar_elev","exposure_rgb","r","g","b","ir","exposure_ir","Y","Z_prime","R_prime","Y_prime","X_prime","NDVI_c","EVI2_c","year","d1","d3"
2018-12-18 22:08:06,-60.43526,2400,56.50277,37.57768,46.42572,43.7856,2400,44.2284914,0.893769817346726,1.15335796294864,0.902810300192283,-0.00904048284555714,-1.01580065498037,-0.773073081538019,2018,352,353
2018-12-18 22:38:07,-66.68735,2400,55.61772,36.61829,45.78654,42.74219,2400,43.3266265,0.872471299909081,1.13529195547489,0.884401060009565,-0.0119297601004842,-1.02123938325432,-0.77248350104666,2018,352,353
2018-12-19 00:01:35,-81.02345,2400,54.83969,35.44621,44.56049,42.62293,2400,42.2668248,0.870036915353045,1.11941048460341,0.86276794839678,0.00726896695626456,-0.987096654782863,-0.752697236074808,2018,353,353
2018-12-19 04:08:07,-38.65409,2400,56.10772,37.47573,46.19983,44.06004,2400,44.024978,0.899371800388471,1.14529403859125,0.898656100310459,0.000715700078012249,-0.998750970338449,-0.763169979201729,2018,353,353
2018-12-19 04:38:08,-32.33183,2400,55.51127,36.22507,45.4906,44.14368,2400,43.0301383,0.901079094739191,1.1331190539489,0.87834901996993,0.0227300747692614,-0.960669478040842,-0.741799135367595,2018,353,353
2018-12-19 05:08:08,-26.07226,2400,56.45168,37.31841,46.36269,44.01966,2400,44.0532618,0.898547547090025,1.15231509269065,0.89923344096035,-0.00068589387032536,-1.00119117137882,-0.765631274074743,2018,353,353
2018-12-19 05:38:08,-19.89187,2400,56.16117,37.38625,46.13937,44.13578,2400,43.9815692,0.900917836664458,1.14638508214752,0.897770021890904,0.0031478147735533,-0.994523315023025,-0.761250359399411,2018,353,353
2018-12-19 06:08:08,-13.81244,2400,55.79631,37.46936,46.10181,42.99921,2400,43.9170145,0.877717698689832,1.13893740858459,0.896452304595084,-0.0187346059052519,-1.03344859673702,-0.779112233405641,2018,353,353
2018-12-19 06:38:07,-7.85167,2400,55.83212,37.03064,45.99704,54.29261,2400,43.657388,1.10824326086606,1.13966837714866,0.891152700855878,0.217090560010184,-0.679986541360417,-0.583570998178284,2018,353,353
2018-12-19 07:08:07,-1.15714,1397,88.15915,81.94044,67.24976,98.28556,967,82.1900782,3.16065053330891,2.35868090489394,2.19897955030283,0.961670983006078,-0.420741526516761,-0.458185955117731,2018,353,353
2018-12-19 07:38:05,3.73779,255,151.52772,134.58248,101.46577,194.42145,114,136.0232139,18.209237153714,9.4890339036749,8.51810406956512,9.69113308414886,0.0105368832608315,0.0150978859271715,2018,353,353
2018-12-19 17:08:08,1.5984,302,137.51966,87.26354,44.83669,124.6502,77,97.6734225,14.2052086478092,7.91336719853981,5.62047388555659,8.58473476225258,0.0406936243519567,0.05873358694006,2018,353,353
2018-12-19 17:38:07,-2.97199,1849,113.36928,80.78186,69.06064,103.28242,2016,89.2687518,2.30028231974338,2.63649488372093,2.07601748372093,0.224264836022455,-0.843213091631078,-0.798555728381386,2018,353,353
2018-12-19 18:08:06,-10.28179,2400,55.94689,36.036,44.58323,44.03495,2400,42.9494623,0.898859652908084,1.14201110996349,0.876702228015857,0.0221574248922276,-0.961934334713876,-0.743993104038748,2018,353,353
2018-12-19 18:38:06,-16.29014,2400,55.02569,35.56394,44.73024,43.19211,2400,42.410758,0.881655253451356,1.12320719370472,0.86570597253883,0.0159492809125259,-0.971998085832967,-0.74579967349261,2018,353,353
2018-12-19 19:08:06,-22.41372,2400,55.97644,36.62402,45.86984,44.31725,2400,43.4467862,0.904622077527982,1.14261429681265,0.886853809614948,0.0177682679130339,-0.96937515530969,-0.747894475187579,2018,353,353
2018-12-19 19:38:07,-28.63253,2400,55.12544,35.62008,44.83632,43.36696,2400,42.4854744,0.885224364130736,1.12524333205341,0.867231114667311,0.0179932494634256,-0.968522264325111,-0.744404384542788,2018,353,353
2018-12-19 20:08:06,-34.91527,2400,55.0439,35.77186,44.66117,43.16492,2400,42.5312961,0.881100239900471,1.12357890377319,0.868166446201868,0.0129337936986024,-0.977239508670033,-0.748509351030681,2018,353,353
2018-12-19 20:38:06,-41.25263,2400,54.93707,35.50303,44.46887,43.18784,2400,42.3194844,0.881568092441342,1.12139824552968,0.863842857980606,0.017725234460736,-0.968879169340123,-0.743899232725887,2018,353,353
