#
# ROI IR statistics timeseries for luckyhills
#
# Site: luckyhills
# Veg Type: SH
# ROI ID Number: 3000
# Lat: 31.743896
# Lon: -110.052023
# Elev: 1366
# UTC Offset: -7
# Resize Flag: False
# Version: 1
# Creation Date: 2020-07-29
# Creation Time: 15:44:39
# Update Date: 2020-07-29
# Update Time: 16:03:17
#
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,ir_mean,ir_std,ir_5_qtl,ir_10_qtl,ir_25_qtl,ir_50_qtl,ir_75_qtl,ir_90_qtl,ir_95_qtl
2018-06-20,08:47:46,171,luckyhills_IR_2018_06_20_084746.jpg,42.33211,8,0,1,103.40455,24.62014,66,74,87,101,117,138,151
2018-06-20,09:04:08,171,luckyhills_IR_2018_06_20_090408.jpg,45.80441,8,0,1,102.18465,41.78377,36,51,73,99,130,164,177
2018-06-20,09:34:06,171,luckyhills_IR_2018_06_20_093406.jpg,52.17031,8,0,1,115.73376,43.82022,49,63,84,111,146,181,194
2018-06-20,10:04:12,171,luckyhills_IR_2018_06_20_100412.jpg,58.54732,8,0,1,125.82632,45.39382,59,71,92,120,158,194,208
2018-06-20,10:34:05,171,luckyhills_IR_2018_06_20_103405.jpg,64.80936,6,0,1,102.61640,41.30096,40,52,72,98,133,164,176
2018-06-20,11:04:12,171,luckyhills_IR_2018_06_20_110412.jpg,70.94185,6,0,1,107.27405,42.03422,45,56,75,102,139,169,181
2018-06-20,11:34:05,171,luckyhills_IR_2018_06_20_113405.jpg,76.56548,6,0,1,110.74805,42.68896,48,59,78,106,144,173,185
2018-06-20,12:04:05,171,luckyhills_IR_2018_06_20_120405.jpg,80.81043,6,0,1,112.75584,43.12965,50,60,79,107,147,176,187
2018-06-20,12:34:05,171,luckyhills_IR_2018_06_20_123405.jpg,81.26244,6,0,1,113.29108,43.40717,50,60,79,108,148,176,188
2018-06-20,13:04:05,171,luckyhills_IR_2018_06_20_130405.jpg,77.50175,6,0,1,112.35635,43.45284,48,59,78,107,148,175,186
2018-06-20,13:34:05,171,luckyhills_IR_2018_06_20_133405.jpg,72.00746,6,0,1,109.47112,43.20163,45,57,76,104,145,171,182
2018-06-20,14:04:05,171,luckyhills_IR_2018_06_20_140405.jpg,65.95263,6,0,1,105.41655,42.79050,40,53,73,101,140,167,176
2018-06-20,14:34:05,171,luckyhills_IR_2018_06_20_143405.jpg,59.68782,6,0,1,99.28471,42.01775,34,47,68,95,133,159,169
2018-06-20,15:04:06,171,luckyhills_IR_2018_06_20_150406.jpg,53.33628,8,0,1,122.05061,46.19370,52,65,88,117,159,188,199
2018-06-20,15:34:05,171,luckyhills_IR_2018_06_20_153405.jpg,46.96731,8,0,1,111.61855,44.54906,42,56,79,107,146,175,186
2018-06-20,16:04:05,171,luckyhills_IR_2018_06_20_160405.jpg,40.60436,8,0,1,101.19835,41.90635,33,48,72,98,132,160,171
2018-06-20,16:34:05,171,luckyhills_IR_2018_06_20_163405.jpg,34.27544,10,0,1,106.87843,43.78160,34,51,77,105,138,168,180
2018-06-20,17:04:05,171,luckyhills_IR_2018_06_20_170405.jpg,28.00164,12,0,1,107.48942,43.39815,33,51,78,107,138,166,179
2018-06-20,17:34:05,171,luckyhills_IR_2018_06_20_173405.jpg,21.80426,14,0,1,102.21346,41.55658,30,47,74,103,131,156,169
2018-06-20,18:04:05,171,luckyhills_IR_2018_06_20_180405.jpg,15.70806,20,0,1,103.67550,43.72176,28,44,73,105,135,159,173
2018-06-20,18:34:05,171,luckyhills_IR_2018_06_20_183405.jpg,9.74547,34,0,1,105.08759,48.06386,29,42,68,104,140,169,185
2018-06-20,19:04:06,171,luckyhills_IR_2018_06_20_190406.jpg,3.99611,73,0,1,101.67851,49.58353,39,47,63,91,134,172,196
2018-06-20,19:34:05,171,luckyhills_IR_2018_06_20_193405.jpg,-1.01069,1312,0,1,97.71350,23.63789,57,66,82,99,115,128,134
2018-06-20,20:04:05,171,luckyhills_IR_2018_06_20_200405.jpg,-7.27441,2400,0,1,44.89969,10.87954,28,31,38,45,52,59,63
2018-06-20,20:34:05,171,luckyhills_IR_2018_06_20_203405.jpg,-12.48731,2400,0,1,18.16025,8.90115,4,7,12,18,24,29,33
2018-06-20,21:04:05,171,luckyhills_IR_2018_06_20_210405.jpg,-17.33416,2400,0,1,17.70813,8.65171,4,7,12,17,23,29,32
2018-06-20,21:34:05,171,luckyhills_IR_2018_06_20_213405.jpg,-21.77665,2400,0,1,17.47608,8.49239,4,7,12,17,23,28,32
2018-06-20,22:04:05,171,luckyhills_IR_2018_06_20_220405.jpg,-25.72871,2400,0,1,17.43474,8.29352,4,7,12,17,23,28,31
2018-06-20,22:34:05,171,luckyhills_IR_2018_06_20_223405.jpg,-29.09293,2400,0,1,17.46676,8.38871,4,7,12,17,23,28,31
2018-06-21,00:01:35,172,luckyhills_IR_2018_06_21_000135.jpg,-34.60823,2400,0,1,16.92567,8.10728,4,7,11,17,22,27,30
2018-06-21,04:04:05,172,luckyhills_IR_2018_06_21_040405.jpg,-13.44241,2400,0,1,16.45988,7.67533,4,7,11,16,22,26,29
2018-06-21,04:34:05,172,luckyhills_IR_2018_06_21_043405.jpg,-8.32269,2400,0,1,26.65048,8.10452,13,16,21,27,32,37,40
2018-06-21,05:04:05,172,luckyhills_IR_2018_06_21_050405.jpg,-1.75097,2233,0,1,98.36831,23.81790,57,67,83,99,115,129,136
2018-06-21,05:34:05,172,luckyhills_IR_2018_06_21_053405.jpg,2.94505,126,0,1,105.12403,39.63957,60,66,79,95,120,158,187
2018-06-21,06:04:05,172,luckyhills_IR_2018_06_21_060405.jpg,8.62491,42,0,1,102.90068,50.24417,29,40,63,99,138,171,192
2018-06-21,06:34:05,172,luckyhills_IR_2018_06_21_063405.jpg,14.55473,24,0,1,104.55410,45.94851,27,42,71,105,138,165,179
2018-06-21,07:04:05,172,luckyhills_IR_2018_06_21_070405.jpg,20.62909,18,0,1,110.47715,45.10744,32,50,80,111,142,170,184
2018-06-21,07:34:05,172,luckyhills_IR_2018_06_21_073405.jpg,26.80921,14,0,1,111.20985,44.03517,35,54,82,111,141,171,186
2018-06-21,08:04:05,172,luckyhills_IR_2018_06_21_080405.jpg,33.07009,11,0,1,113.77825,44.85173,39,57,84,113,143,177,192
2018-06-21,08:34:05,172,luckyhills_IR_2018_06_21_083405.jpg,39.39007,10,0,1,112.94064,43.91497,42,58,83,111,142,176,191
2018-06-21,09:04:05,172,luckyhills_IR_2018_06_21_090405.jpg,45.74825,8,0,1,104.13064,41.90113,37,52,75,101,132,166,179
2018-06-21,09:34:05,172,luckyhills_IR_2018_06_21_093405.jpg,52.12116,8,0,1,115.73121,43.59916,49,63,85,111,146,181,194
2018-06-21,10:04:06,172,luckyhills_IR_2018_06_21_100406.jpg,58.48084,8,0,1,125.68843,45.17916,59,71,93,120,158,193,207
2018-06-21,10:34:05,172,luckyhills_IR_2018_06_21_103405.jpg,64.76477,7,0,1,133.75997,46.51969,66,78,99,128,168,203,217
2018-06-21,11:04:05,172,luckyhills_IR_2018_06_21_110405.jpg,70.87610,6,0,1,107.34315,41.81595,45,57,76,102,139,169,181
2018-06-21,11:34:05,172,luckyhills_IR_2018_06_21_113405.jpg,76.52837,6,0,1,110.99300,42.52234,48,59,78,106,144,173,185
2018-06-21,12:04:05,172,luckyhills_IR_2018_06_21_120405.jpg,80.79059,6,0,1,113.09285,43.02709,50,61,80,108,147,176,188
2018-06-21,12:34:05,172,luckyhills_IR_2018_06_21_123405.jpg,81.27794,6,0,1,113.90604,43.32540,50,61,80,109,149,177,188
2018-06-21,13:04:05,172,luckyhills_IR_2018_06_21_130405.jpg,77.53803,6,0,1,112.98339,43.36279,49,60,79,108,148,176,186
2018-06-21,13:34:05,172,luckyhills_IR_2018_06_21_133405.jpg,72.05023,6,0,1,110.20409,43.18577,46,57,77,105,145,172,183
2018-06-21,14:04:06,172,luckyhills_IR_2018_06_21_140406.jpg,65.99420,6,0,1,105.81279,42.72785,41,53,73,101,140,167,177
2018-06-21,14:34:05,172,luckyhills_IR_2018_06_21_143405.jpg,59.73370,6,0,1,99.84212,41.94690,35,48,68,95,134,160,169
2018-06-21,15:04:05,172,luckyhills_IR_2018_06_21_150405.jpg,53.38598,8,0,1,122.26271,46.06894,52,66,88,117,159,188,199
2018-06-21,15:34:05,172,luckyhills_IR_2018_06_21_153405.jpg,47.01345,8,0,1,111.93701,44.41002,43,57,80,108,146,175,186
2018-06-21,16:04:05,172,luckyhills_IR_2018_06_21_160405.jpg,40.65028,8,0,1,101.10285,41.81488,33,48,72,98,132,160,171
2018-06-21,16:34:05,172,luckyhills_IR_2018_06_21_163405.jpg,34.32097,10,0,1,105.71358,43.81057,32,50,76,104,137,166,179
2018-06-21,17:04:05,172,luckyhills_IR_2018_06_21_170405.jpg,28.04662,12,0,1,107.38817,43.29344,33,51,78,107,137,166,179
2018-06-21,17:34:06,172,luckyhills_IR_2018_06_21_173406.jpg,21.84511,14,0,1,101.82128,41.28291,30,47,74,103,131,155,168
2018-06-21,18:04:05,172,luckyhills_IR_2018_06_21_180405.jpg,15.75140,20,0,1,103.83400,43.73122,28,44,73,106,136,160,173
2018-06-21,18:34:05,172,luckyhills_IR_2018_06_21_183405.jpg,9.78755,34,0,1,105.49675,48.11336,30,42,68,105,141,170,186
2018-06-21,19:04:05,172,luckyhills_IR_2018_06_21_190405.jpg,4.03894,73,0,1,100.20039,48.60597,39,47,63,89,131,169,192
2018-06-21,19:34:05,172,luckyhills_IR_2018_06_21_193405.jpg,-0.98184,1267,0,1,97.72951,23.58976,57,66,82,99,115,128,134
2018-06-21,20:04:05,172,luckyhills_IR_2018_06_21_200405.jpg,-7.23467,2400,0,1,45.55939,11.12427,28,32,38,45,53,60,64
2018-06-21,20:34:05,172,luckyhills_IR_2018_06_21_203405.jpg,-12.45198,2400,0,1,18.63453,9.16505,4,7,12,18,24,30,34
2018-06-21,21:04:05,172,luckyhills_IR_2018_06_21_210405.jpg,-17.30167,2400,0,1,18.22976,8.69467,4,7,12,18,24,29,33
2018-06-21,21:34:06,172,luckyhills_IR_2018_06_21_213406.jpg,-21.74993,2400,0,1,18.01524,8.58822,4,7,12,18,23,29,32
2018-06-21,22:04:05,172,luckyhills_IR_2018_06_21_220405.jpg,-25.70376,2400,0,1,18.07673,8.65466,4,7,12,18,24,29,32
2018-06-21,22:34:05,172,luckyhills_IR_2018_06_21_223405.jpg,-29.07284,2400,0,1,17.69957,8.42157,4,7,12,18,23,28,32
2018-06-22,00:01:35,173,luckyhills_IR_2018_06_22_000135.jpg,-34.60617,2400,0,1,17.31032,8.29566,4,7,12,17,23,28,31
2018-06-22,04:04:05,173,luckyhills_IR_2018_06_22_040405.jpg,-13.48083,2400,0,1,16.57761,7.82734,4,7,11,16,22,27,30
